date, GDP Per Capita (USD) - US, Annual Growth Rate (%) - US
31/12/95,28690.8757,3.6
31/12/96,29967.7127,4.45
31/12/97,31459.139,4.98
31/12/98,32853.677,4.43
31/12/99,34515.3902,5.06
31/12/00,36329.9561,5.26
31/12/01,37133.6231,2.21
31/12/02,37997.7597,2.33
31/12/03,39490.275,3.93
31/12/04,41724.6316,5.66
31/12/05,44123.4071,5.75
31/12/06,46302.0009,4.94
31/12/07,48050.2238,3.78
31/12/08,48570.046,1.08
31/12/09,47194.9434,-2.83
31/12/10,48650.6431,3.08
31/12/11,50065.9665,2.91
31/12/12,51784.4186,3.43
31/12/13,53291.1277,2.91
31/12/14,55123.8498,3.44
31/12/15,56762.7295,2.97
31/12/16,57866.7449,1.94
31/12/17,59914.7778,3.54
31/12/18,62805.2538,4.82
31/12/19,65094.7994,3.65
31/12/20,63027.6795,-3.18
31/12/21,69287.5366,9.93