date, GDP Per Capita (USD) - Global, Annual Growth Rate (%) - Global
31/12/95,5439.8087,9.73
31/12/96,5481.6149,0.77
31/12/97,5384.6921,-1.77
31/12/98,5297.2682,-1.62
31/12/99,5425.0493,2.41
31/12/00,5533.053,1.99
31/12/01,5427.3912,-1.91
31/12/02,5565.5925,2.55
31/12/03,6163.079,10.74
31/12/04,6859.584,11.3
31/12/05,7337.4898,6.97
31/12/06,7854.1044,7.04
31/12/07,8743.396,11.32
31/12/08,9489.966,8.54
31/12/09,8890.8011,-6.31
31/12/10,9621.1283,8.21
31/12/11,10544.8758,9.6
31/12/12,10648.2372,0.98
31/12/13,10815.58,1.57
31/12/14,10976.3835,1.49
31/12/15,10231.7026,-6.78
31/12/16,10286.4113,0.53
31/12/17,10825.9024,5.24
31/12/18,11366.0737,4.99
31/12/19,11407.4793,0.36
31/12/20,10936.0575,-4.13
31/12/21,12262.9346,12.13